MatchID,Date,Stage,Group,HomeTeam,AwayTeam,Venue,Neutral
84,2026-07-01,R32,,TBD,TBD,TBD,True
85,2026-07-02,R32,,TBD,TBD,TBD,True
86,2026-07-02,R32,,TBD,TBD,TBD,True
87,2026-07-03,R32,,TBD,TBD,TBD,True
88,2026-07-03,R32,,TBD,TBD,TBD,True
89,2026-07-04,R16,,TBD,TBD,TBD,True
90,2026-07-04,R16,,TBD,TBD,TBD,True
91,2026-07-05,R16,,TBD,TBD,TBD,True
92,2026-07-05,R16,,TBD,TBD,TBD,True
93,2026-07-06,R16,,TBD,TBD,TBD,True
94,2026-07-06,R16,,TBD,TBD,TBD,True
95,2026-07-07,R16,,TBD,TBD,TBD,True
96,2026-07-07,R16,,TBD,TBD,TBD,True
97,2026-07-09,QF,,TBD,TBD,TBD,True
98,2026-07-10,QF,,TBD,TBD,TBD,True
99,2026-07-11,QF,,TBD,TBD,TBD,True
100,2026-07-11,QF,,TBD,TBD,TBD,True
101,2026-07-14,SF,,TBD,TBD,TBD,True
102,2026-07-15,SF,,TBD,TBD,TBD,True
103,2026-07-18,3rd-place,,TBD,TBD,TBD,True
104,2026-07-19,Final,,TBD,TBD,TBD,True
